"","datum","tijd","Roelalleen","Drealleen","samen","cat","datetime","counter"
"218",2015-02-19,"10:03",1,0,0,"roel alleen",2015-02-19 10:03:00,1
"219",2015-02-18,"13:16",1,0,0,"roel alleen",2015-02-18 13:16:00,1
"220",2015-02-18,"11:38",1,0,0,"roel alleen",2015-02-18 11:38:00,1
"221",2015-02-18,"09:28",1,0,0,"roel alleen",2015-02-18 09:28:00,1
"222",2015-02-17,"14:00",1,0,0,"roel alleen",2015-02-17 14:00:00,1
"223",2015-02-17,"10:12",1,0,0,"roel alleen",2015-02-17 10:12:00,1
"224",2015-02-17,"09:33",1,0,0,"roel alleen",2015-02-17 09:33:00,1
"225",2015-02-16,"14:26",1,0,0,"roel alleen",2015-02-16 14:26:00,1
"226",2015-02-16,"11:46",1,0,0,"roel alleen",2015-02-16 11:46:00,1
"227",2015-02-16,"09:49",1,0,0,"roel alleen",2015-02-16 09:49:00,1
"228",2015-02-15,"14:56",1,0,0,"roel alleen",2015-02-15 14:56:00,1
"229",2015-02-15,"09:42",1,0,0,"roel alleen",2015-02-15 09:42:00,1
"230",2015-02-15,"09:27",1,0,0,"roel alleen",2015-02-15 09:27:00,1
"231",2015-02-14,"14:31",1,0,0,"roel alleen",2015-02-14 14:31:00,1
"232",2015-02-14,"10:44",1,0,0,"roel alleen",2015-02-14 10:44:00,1
"233",2015-02-14,"10:18",1,0,0,"roel alleen",2015-02-14 10:18:00,1
"234",2015-02-13,"11:24",1,0,0,"roel alleen",2015-02-13 11:24:00,1
"235",2015-02-12,"21:07",1,0,0,"roel alleen",2015-02-12 21:07:00,1
"236",2015-02-12,"15:39",1,0,0,"roel alleen",2015-02-12 15:39:00,1
"237",2015-02-12,"15:29",1,0,0,"roel alleen",2015-02-12 15:29:00,1
"238",2015-02-12,"13:13",1,0,0,"roel alleen",2015-02-12 13:13:00,1
"239",2015-02-11,"16:08",1,0,0,"roel alleen",2015-02-11 16:08:00,1
"240",2015-02-11,"09:56",1,0,0,"roel alleen",2015-02-11 09:56:00,1
"241",2015-02-10,"15:56",1,0,0,"roel alleen",2015-02-10 15:56:00,1
"242",2015-02-10,"14:52",1,0,0,"roel alleen",2015-02-10 14:52:00,1
"243",2015-02-10,"10:31",1,0,0,"roel alleen",2015-02-10 10:31:00,1
"244",2015-02-10,"09:28",1,0,0,"roel alleen",2015-02-10 09:28:00,1
